Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Marko Jaric,,2.8,2.4,2.3,1.9,1.5,1.5,-0.4,,,,,
Nick Young,83.2,2.8,2.5,2.3,1.9,1.4,1.2,1.2,0.4,0.1,,,
Willie Green,79.8,2.5,2.4,2.3,2.2,2.1,1.8,0.5,0.1,0.0,-0.1,-0.1,-0.7
Mike Bratz,79.2,2.7,2.1,1.9,1.7,1.5,0.8,0.4,0.1,-0.1,,,
Evan Turner,78.2,4.0,2.5,2.4,2.3,2.1,1.4,,,,,,
Haywoode Workman,77.6,2.8,2.5,1.9,1.6,1.4,0.3,0.1,0.1,,,,
John Crotty,76.2,2.4,2.2,2.1,1.9,1.3,1.0,0.8,0.3,0.1,0.1,-0.1,
Winston Garland,75.4,4.5,2.9,2.4,1.8,1.7,1.2,-0.3,,,,,
Quintin Dailey,75.2,3.7,2.6,2.1,2.0,1.3,1.0,0.3,0.1,-0.3,-0.3,,
Anthony Bowie,75.1,2.9,2.5,2.0,1.6,1.3,0.7,0.7,0.5,,,,
Mike McGee,73.8,3.2,3.0,2.8,2.3,1.9,1.1,0.4,0.2,0.2,,,
