Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Brandon Bass,,6.3,5.3,5.1,4.7,4.7,4.3,4.1,4.1,2.0,0.1,0.0,,
John Salley,91.1,6.2,6.1,5.1,4.8,4.8,3.8,3.6,3.5,2.5,0.6,0.5,,
Jared Dudley,90.8,5.6,5.3,5.1,4.8,4.6,4.1,2.9,2.7,2.4,,,,
Jim Washington,90.1,6.7,5.5,5.4,4.9,4.7,4.3,3.6,2.4,1.3,0.5,0.0,,
Rudy Gay,88.1,6.4,6.1,6.0,5.5,5.0,4.8,4.0,3.8,3.3,0.5,,,
Robert Reid,87.9,7.2,5.2,4.9,4.5,4.4,4.1,3.5,3.0,2.3,1.7,-0.1,-0.2,-0.3
Larry Smith,87.5,6.1,5.4,5.2,4.7,4.4,4.3,4.0,3.7,3.1,2.6,1.2,1.2,0.3
Jerome Williams,87.3,7.6,5.4,5.0,4.8,4.5,4.3,3.5,2.6,0.2,,,,
Bill Bradley,87.1,7.0,5.4,5.4,4.9,4.7,4.2,2.8,2.5,1.1,0.8,,,
Mike Bantom,86.9,5.9,5.2,4.8,4.5,4.4,3.9,2.9,2.7,0.5,,,,
Bruce Bowen,86.2,6.2,6.1,5.4,5.1,4.4,4.2,4.1,2.2,2.2,1.9,1.2,0.0,0.0
