Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Career,,,NBA,,58,1404,.472,10.3,.997,.307,.135,.240,.315,.003,.473,.605,.280,.494,.410,.000,.669,.137,46,,.000,,1,0
3 seasons,,BOS,NBA,,30,898,.455,10.5,1.000,.308,.129,.192,.371,.000,.455,.565,.276,.488,.410,,.696,.116,23,,,,0,0
2 seasons,,DAL,NBA,,15,325,.521,8.4,.990,.375,.156,.344,.115,.010,.526,.639,.333,.485,.545,.000,.640,.198,18,,.000,,1,0
2 seasons,,ORL,NBA,,13,181,.451,12.8,1.000,.176,.118,.255,.451,.000,.451,.778,.167,.538,.348,,.609,.118,5,,,,0,0
