Defensive Box Plus/Minus
2006-07 NBA 3.6 (5th)
2007-08 NBA 3.8 (7th)
2009-10 NBA 4.3 (3rd)
2010-11 NBA 3.0 (10th)
2011-12 NBA 3.7 (5th)
2012-13 NBA 3.2 (7th)
Active 2.9 (4th)
Career NBA 2.9 (21st)
Career 2.9 (23rd)
