Blocks Per Game
2005-06 NBA 2.6 (4th)
2006-07 NBA 2.9 (2nd)
2007-08 NBA 2.8 (2nd)
2009-10 NBA 2.1 (3rd)
2011-12 NBA 1.7 (9th)
2012-13 NBA 1.8 (9th)
Active 1.9 (3rd)
Career NBA 1.9 (24th)
Career 1.9 (25th)
