Defensive Win Shares
2007-08 NBA 4.6 (8th)
2009-10 NBA 5.1 (4th)
2011-12 NBA 4.9 (1st)
Active 42.3 (10th)
Career NBA 42.3 (77th)
Career 42.3 (82nd)
