Player,Sim,1,2,3,4,5,6,7
Linas Kleiza,,4.7,3.6,2.8,1.5,1.2,0.1,-0.3
Lamond Murray,86.5,4.9,3.3,2.3,2.1,1.2,0.3,-0.3
Corey Brewer,86.0,5.2,3.9,2.3,1.1,1.0,0.3,-0.2
Jim Petersen,84.5,4.7,3.4,2.9,1.0,0.6,0.4,0.3
Kwame Brown,84.3,4.9,3.6,2.5,1.9,0.8,0.6,0.6
Larry McNeill,83.7,4.4,4.3,2.3,1.5,0.7,0.1,
Bruce Bowen,83.4,5.1,4.2,2.2,1.9,1.2,0.0,0.0
George Irvine,82.7,5.5,3.7,3.2,2.5,1.2,0.0,
Bob Harris,82.5,5.0,4.3,3.4,1.9,1.0,,
Dave Budd,82.1,4.1,3.2,2.3,1.2,0.9,,
Chris Andersen,82.1,5.4,4.5,2.4,1.3,1.1,0.3,0.0
