3-Pt Field Goal Attempts
2003-04 NBA 521 (3rd)
2004-05 NBA 512 (6th)
2007-08 NBA 494 (6th)
2009-10 NBA 427 (6th)
Active 5730 (3rd)
Career NBA 5730 (5th)
Career 5730 (5th)
