3-Pt Field Goals
2003-04 NBA 165 (5th)
2004-05 NBA 185 (6th)
2007-08 NBA 176 (7th)
2009-10 NBA 163 (7th)
Active 1996 (4th)
Career NBA 1996 (6th)
Career 1996 (6th)
