Free Throw Pct
2011-12 NBA .927 (1st)
2012-13 NBA .871 (10th)
2013-14 NBA .867 (9th)
2014-15 NBA .901 (4th)
2015-16 NBA .904 (2nd)
Active .861 (10th)
Career NBA .861 (37th)
Career .861 (40th)
