Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Jamal Crawford,,7.3,5.4,5.3,5.0,4.5,4.2,4.1,3.6,3.4,3.3,3.3,3.1,2.8,2.3,0.6,-0.9
Derek Fisher,87.6,6.3,5.8,5.7,5.5,5.2,3.9,3.9,3.8,3.7,3.7,3.1,2.4,1.8,1.7,1.2,1.1
John Lucas,86.0,7.9,5.9,5.7,5.2,4.8,4.3,4.3,3.9,3.9,3.2,1.9,1.3,1.0,0.4,,
Vinnie Johnson,85.4,7.7,5.9,5.9,4.8,4.7,4.2,4.1,3.8,3.2,2.7,2.3,1.2,0.2,,,
Nate McMillan,83.9,6.5,6.0,5.6,5.1,4.9,4.4,4.1,3.7,3.7,2.8,2.6,0.8,,,,
Devin Harris,82.3,7.5,6.5,5.6,4.2,4.2,4.2,3.7,3.3,2.7,2.7,2.5,1.6,,,,
Kyle Korver,80.5,7.5,6.6,6.4,5.9,5.3,5.1,4.6,4.6,4.2,4.1,3.7,2.6,1.0,,,
Tyrone Corbin,80.3,6.8,6.7,5.6,5.5,5.4,5.4,5.0,4.4,3.0,2.5,2.2,2.1,1.2,0.9,0.1,-0.3
Sedale Threatt,80.3,7.3,7.1,4.6,4.6,4.5,3.8,3.7,3.4,2.7,2.5,2.1,1.3,0.4,0.1,,
Mario Elie,80.0,8.9,5.1,4.8,4.6,4.5,4.4,4.2,3.8,3.8,3.1,1.6,,,,,
J.R. Smith,79.3,6.7,5.8,5.5,5.0,3.7,3.7,3.7,3.7,2.7,2.5,1.2,0.2,,,,
