Defensive Rebound Pct
1991-92 NBA 30.9 (2nd)
1992-93 NBA 27.9 (4th)
1993-94 NBA 24.2 (7th)
1994-95 NBA 25.3 (7th)
Career NBA 22.9 (55th)
Career 22.9 (58th)
