Offensive Rebound Pct
1986-87 NBA 13.3 (4th)
1987-88 NBA 12.4 (8th)
1989-90 NBA 12.5 (8th)
1991-92 NBA 14.7 (5th)
1992-93 NBA 12.5 (10th)
1999-00 NBA 13.0 (7th)
Career NBA 12.0 (24th)
Career 12.0 (26th)
