Player,Sim,1,2,3,4,5,6,7,8
Luke Babbitt,,1.6,1.1,0.7,0.7,0.7,-0.4,,
Gary Gregor,85.2,1.4,1.1,0.8,0.5,0.5,-0.4,,
Henry Walker,75.1,1.9,1.1,0.9,0.5,0.5,,,
Pete Verhoeven,72.2,2.1,1.2,0.8,0.7,0.4,0.0,,
Hilton Armstrong,71.7,1.5,1.2,0.5,0.5,0.3,-0.1,,
Major Jones,69.4,1.3,1.3,1.2,0.9,0.7,0.1,,
Darvin Ham,67.6,1.7,1.2,0.9,0.9,0.9,0.3,0.1,-0.4
John Wallace,66.3,1.6,1.5,1.0,1.0,0.7,0.3,0.3,
Bob Portman,65.5,1.9,1.2,0.8,0.5,,,,
Anthony Randolph,65.4,1.6,1.5,1.1,0.6,0.5,0.5,,
Tony Brown,65.1,1.8,1.3,0.9,0.5,0.2,0.2,0.0,
