Player,Sim,1,2,3,4,5,6,7,8,9
Arron Afflalo,,6.2,5.3,5.3,4.3,2.7,2.6,2.0,1.9,1.8
Adrian Smith,93.6,6.1,5.2,5.1,4.4,3.4,2.6,1.9,1.8,0.8
Raymond Felton,91.5,6.5,5.4,4.3,4.2,3.4,2.6,2.3,2.2,1.7
Guy Rodgers,91.2,6.2,4.8,4.3,4.0,2.8,2.5,2.4,2.3,2.1
Aaron McKie,90.7,5.9,5.3,5.1,4.3,3.9,3.5,2.0,1.6,1.4
Austin Carr,89.8,5.9,5.4,5.3,5.0,3.4,2.9,2.6,2.0,1.0
Lou Williams,89.4,6.1,5.2,5.1,4.4,3.4,2.6,2.4,1.1,-0.1
Gerald Henderson,88.9,6.2,5.3,3.7,3.6,2.9,2.3,2.2,1.7,1.3
Luke Ridnour,87.6,6.2,5.4,4.4,4.0,3.4,3.3,2.3,1.2,0.9
Foots Walker,87.5,6.1,5.2,4.2,3.4,3.4,3.0,2.3,1.5,1.5
Walt Hazzard,87.2,5.4,5.3,5.0,4.5,3.3,2.5,2.2,1.1,0.2
