Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Arron Afflalo,,6.2,5.3,5.3,4.3,2.7,2.6,2.0,1.9,1.8,,,,
Adrian Smith,92.6,6.1,5.2,5.1,4.4,3.4,2.6,1.9,1.8,1.5,0.8,0.5,,
Austin Carr,89.0,5.9,5.4,5.3,5.0,3.4,2.9,2.6,2.0,1.0,-0.4,,,
Walt Hazzard,87.6,5.4,5.3,5.0,4.5,3.3,2.5,2.2,1.1,0.6,0.2,,,
Larry Steele,87.1,5.7,5.2,4.8,3.6,3.0,2.0,1.9,1.6,0.5,,,,
Guy Rodgers,87.1,6.2,4.8,4.3,4.0,2.8,2.5,2.4,2.3,2.1,1.3,0.6,-0.2,
Foots Walker,86.9,6.1,5.2,4.2,3.4,3.4,3.0,2.3,1.5,1.5,0.3,,,
Thabo Sefolosha,86.3,6.8,4.5,4.1,4.0,3.0,2.5,2.2,1.8,1.5,0.8,,,
Raymond Felton,86.2,6.5,5.4,4.3,4.2,3.4,2.7,2.6,2.3,2.2,1.7,0.2,,
Quentin Richardson,85.4,5.8,5.8,5.6,3.5,3.0,2.4,2.1,1.3,1.3,1.0,0.7,0.3,-0.1
Ricky Davis,85.3,5.7,5.0,4.4,4.2,3.0,2.8,1.9,1.1,0.2,0.2,0.1,-0.4,
