Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Adonal Foyle,,4.0,3.4,2.8,1.9,1.3,1.2,1.1,1.1,1.0,0.7,0.3,-0.1,,,
Duane Causwell,85.7,3.9,2.9,2.8,1.8,1.3,1.2,0.7,0.7,0.5,0.0,0.0,,,,
Len Elmore,81.7,4.1,3.4,2.2,2.1,2.1,1.6,1.5,0.9,0.9,0.0,,,,,
Bill Wennington,81.0,3.5,2.8,2.3,2.1,2.0,1.3,1.2,0.9,0.8,0.5,0.4,0.1,-0.3,,
Bob Ferry,80.2,4.9,3.9,3.1,2.7,1.4,1.2,1.2,0.9,0.8,0.0,,,,,
Mike Brown,79.3,3.7,3.7,2.4,1.5,1.5,1.4,1.0,0.7,0.2,0.1,-0.4,,,,
Joel Anthony,79.1,3.4,3.3,3.1,1.7,1.2,1.2,0.6,0.4,0.2,,,,,,
Vitaly Potapenko,78.1,3.4,3.1,2.5,2.2,1.5,1.1,1.0,0.5,0.2,0.1,-0.1,,,,
Joe Kleine,77.8,3.1,2.6,2.6,2.3,1.6,1.5,1.4,1.2,1.0,0.9,0.4,0.3,0.1,0.1,0.0
Luc Longley,76.4,3.5,3.4,3.1,2.2,1.8,1.8,1.3,0.2,0.2,0.0,,,,,
Dennis Awtrey,76.3,5.2,5.0,3.1,2.1,1.8,1.4,1.0,1.0,0.7,0.6,0.6,0.0,,,
