Blocks Per Game
2000-01 NBA 2.7 (6th)
2001-02 NBA 2.1 (8th)
2002-03 NBA 2.5 (5th)
2004-05 NBA 2.0 (10th)
Career NBA 1.6 (45th)
Career 1.6 (48th)
