Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Rasual Butler,,4.6,2.7,2.6,2.6,1.7,1.7,1.6,1.3,1.2,1.1,0.1,-0.1,-0.2,
Scott Brooks,84.5,4.6,3.3,2.9,2.7,2.6,2.1,1.9,1.6,1.0,0.7,,,,
Danny Young,84.1,4.8,3.0,2.9,2.4,1.9,1.8,1.8,1.4,0.2,-0.1,,,,
Keith Bogans,81.6,4.9,3.6,2.6,2.5,2.3,1.7,1.4,1.3,0.1,0.1,0.0,,,
Randy Foye,80.6,4.6,3.7,3.2,3.1,2.3,2.2,1.7,1.1,1.0,0.4,,,,
Brian Shaw,79.9,5.9,3.2,2.5,2.2,2.1,1.8,1.3,1.2,1.1,1.0,0.6,0.6,0.1,0.0
Darnell Valentine,79.7,5.0,3.7,3.4,3.1,1.7,1.7,1.5,1.1,1.0,,,,,
Shaun Livingston,79.7,4.6,4.4,3.3,2.6,2.4,1.9,1.3,1.3,1.2,0.4,0.1,,,
Anthony Johnson,79.7,4.5,4.0,3.6,2.8,2.0,1.8,1.2,1.1,1.0,0.7,0.4,0.3,-0.2,
Earl Watson,79.6,2.9,2.7,2.6,2.3,2.3,2.0,1.8,1.5,1.0,0.4,0.0,-0.1,-0.2,
John Battle,79.4,4.0,3.2,2.3,2.0,1.7,1.5,1.4,1.0,0.5,0.2,,,,
