Player,Sim,1,2,3,4,5
Alexey Shved,,2.2,0.8,0.2,,
Ben McLemore,86.6,2.5,0.8,0.3,,
Trajan Langdon,86.5,2.0,0.6,0.3,,
Win Wilfong,84.9,2.1,0.6,0.2,-0.3,
Robert Hawkins,82.8,1.9,0.6,0.3,0.1,
Jerry Eaves,82.3,2.0,0.7,0.0,-0.1,
Kedrick Brown,81.5,2.0,0.5,0.4,0.1,
Kevin O'Shea,80.8,2.1,1.2,0.5,,
Mike Flynn,80.7,1.7,0.8,0.3,,
Chink Crossin,80.2,2.1,1.2,0.5,,
Lloyd Daniels,77.5,1.8,1.1,0.2,0.1,0.0
