Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Morris Peterson,,5.9,5.1,4.9,4.9,3.8,3.6,3.2,2.9,0.8,0.6,0.0,,
Mike Bantom,92.8,5.9,5.2,4.8,4.5,4.4,3.9,2.9,2.7,0.5,,,,
Chuck Person,89.6,5.5,5.4,5.4,4.6,3.9,3.6,3.3,3.0,2.1,1.2,0.9,0.0,-0.1
Jared Dudley,88.9,5.6,5.3,5.1,4.8,4.6,4.1,2.9,2.7,2.4,,,,
Rod Higgins,88.6,5.9,5.7,5.3,5.0,3.8,3.7,2.5,2.0,1.4,1.3,1.0,0.1,0.0
Channing Frye,88.6,6.4,5.3,4.7,3.7,3.5,3.2,3.0,2.1,0.9,0.8,,,
John Block,88.2,5.5,5.1,4.2,4.2,4.1,4.1,3.1,2.3,0.2,0.0,,,
Bill Bradley,87.7,7.0,5.4,5.4,4.9,4.7,4.2,2.8,2.5,1.1,0.8,,,
Jim Washington,87.7,6.7,5.5,5.4,4.9,4.7,4.3,3.6,2.4,1.3,0.5,0.0,,
Willie Naulls,87.5,5.7,5.5,5.3,4.6,3.9,2.6,2.6,1.8,1.8,0.4,,,
Antoine Walker,87.2,6.7,6.6,5.0,4.7,3.9,3.6,2.6,2.6,1.7,0.9,0.1,-0.3,
