Player,Sim,1,2,3,4,5,6,7
Mirza Teletovic,,3.8,2.7,0.9,0.5,,,
Ime Udoka,90.2,3.9,2.8,1.3,0.8,0.0,0.0,0.0
Greg Kelser,87.2,3.9,2.5,1.4,0.8,0.1,0.0,
Mike Sweetney,85.1,3.8,2.1,1.4,0.4,,,
Zeke Zawoluk,82.4,3.9,2.5,1.7,,,,
Tony Jaros,81.4,4.4,2.2,1.3,0.6,,,
Tyrone Nesby,80.7,3.1,2.9,1.3,0.3,,,
Michael Kidd-Gilchrist,80.4,3.8,3.1,2.1,0.6,,,
Larry Stewart,80.0,4.7,2.9,1.6,0.5,0.1,,
Don Boven,79.0,3.8,2.2,1.5,,,,
Cal Christensen,78.8,3.2,2.9,1.7,0.4,0.0,,
