Assists Per Game
1996-97 NBA 7.8 (10th)
1997-98 NBA 8.6 (4th)
1998-99 NBA 8.9 (3rd)
1999-00 NBA 8.4 (7th)
2000-01 NBA 7.6 (9th)
2001-02 NBA 8.1 (6th)
2002-03 NBA 8.1 (4th)
2003-04 NBA 8.9 (2nd)
2004-05 NBA 8.1 (4th)
Career NBA 7.6 (18th)
Career 7.6 (18th)
