Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Stephon Marbury,,11.7,9.6,9.1,7.8,7.4,7.1,5.9,5.3,5.3,3.9,3.7,1.1,-0.3,,,
Louie Dampier,93.0,10.1,9.5,8.5,8.1,7.4,7.2,6.0,5.4,5.0,4.0,1.6,1.2,,,,
Isiah Thomas,92.2,11.2,9.1,8.8,7.6,7.6,7.4,7.0,6.7,5.8,3.7,3.4,2.3,0.2,,,
Mitch Richmond,90.1,10.8,9.3,8.0,7.9,7.1,6.4,5.6,5.2,5.2,4.9,3.3,3.1,1.6,0.9,,
Dick Van Arsdale,89.7,10.4,10.2,9.0,8.7,7.0,5.9,5.6,5.2,4.0,3.8,2.7,2.6,,,,
Tim Hardaway,89.5,12.9,11.7,9.9,9.2,7.5,7.3,6.4,5.4,5.1,4.3,3.3,1.8,0.2,,,
Deron Williams,89.1,11.3,10.9,10.3,8.4,7.3,7.2,5.4,4.1,3.7,3.6,2.8,,,,,
Derek Harper,87.9,9.9,9.4,9.1,8.0,7.6,6.4,6.3,6.2,5.4,4.0,3.5,2.7,2.7,2.3,2.0,1.3
Sam Cassell,87.7,12.1,9.6,9.2,8.6,8.5,8.3,7.6,4.7,3.9,3.9,3.8,2.8,2.2,1.8,0.8,
Richie Guerin,87.4,12.1,8.4,7.4,7.2,6.3,5.7,5.7,5.4,4.7,3.5,1.7,1.2,-0.1,,,
Gail Goodrich,87.3,12.3,8.1,7.8,6.7,6.4,6.3,6.3,5.5,5.1,4.4,3.6,2.2,1.2,0.7,,
