Offensive Box Plus/Minus
1998-99 NBA 5.1 (4th)
1999-00 NBA 4.1 (9th)
2000-01 NBA 7.0 (2nd)
2003-04 NBA 4.3 (10th)
2004-05 NBA 5.6 (5th)
Career NBA 3.6 (28th)
Career 3.6 (29th)
