Player,Sim,1,2,3,4,5,6,7,8,9,10
Channing Frye,,6.4,5.3,4.7,3.7,3.5,3.2,3.0,2.1,0.9,0.8
Kenny Carr,91.4,6.7,5.8,5.1,3.8,3.1,2.9,2.9,2.1,1.1,0.0
Antoine Carr,89.9,5.5,5.4,4.0,3.8,3.5,3.3,2.2,2.1,1.2,0.7
Tom Van Arsdale,89.7,5.5,5.0,4.8,4.4,4.0,3.1,2.7,2.2,1.4,1.0
Chris Morris,89.6,7.2,4.7,4.5,4.0,3.8,3.3,3.2,2.8,1.2,1.0
Harvey Grant,89.2,6.7,5.0,4.3,4.0,4.0,3.9,2.7,2.6,1.7,0.7
Rodney Rogers,89.2,7.4,5.4,4.7,3.9,3.3,2.9,2.3,2.3,2.0,1.2
Morris Peterson,88.6,5.9,5.1,4.9,4.9,3.8,3.6,3.2,2.9,0.8,0.6
Sam Mitchell,88.4,6.1,5.1,5.1,4.3,3.7,3.3,3.0,2.8,2.3,2.2
Darnell Hillman,88.2,6.2,4.4,4.2,3.8,3.3,3.2,3.2,2.6,0.3,
Ray Scott,88.0,5.5,5.3,4.5,3.5,3.4,3.0,2.5,2.5,2.4,1.3
