Assists Per Game
2007-08 NBA 8.3 (5th)
2008-09 NBA 8.9 (4th)
2010-11 NBA 8.9 (5th)
2011-12 NBA 8.8 (4th)
Active 6.3 (9th)
Career NBA 6.3 (43rd)
Career 6.3 (44th)
