Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jose Calderon,,10.2,7.5,7.4,6.3,5.4,5.1,4.2,4.0,3.7,0.9,0.9
Andy Phillip,91.8,9.7,7.7,7.4,7.1,5.5,4.8,3.8,3.1,2.9,1.5,
Sleepy Floyd,91.7,10.0,7.7,7.5,6.3,4.4,4.4,3.7,3.1,2.2,1.0,0.9
Dick Snyder,91.4,10.0,8.0,6.4,6.2,6.2,6.0,4.1,3.7,3.4,1.8,0.6
Randy Smith,90.2,9.4,7.9,7.2,6.4,5.8,5.7,4.2,3.3,3.0,2.4,2.2
Brent Barry,89.3,12.1,7.5,7.3,6.1,5.8,5.7,4.9,4.3,2.7,2.1,1.6
Kevin Martin,89.2,10.2,9.5,8.4,7.0,5.5,5.3,4.7,4.2,3.3,1.9,0.1
Ron Boone,89.1,9.7,8.3,8.1,6.2,5.9,5.9,5.1,4.0,2.8,2.6,0.4
Tom Gola,89.0,9.9,7.4,7.1,6.8,6.5,4.4,4.4,3.4,1.7,1.7,
Doc Rivers,88.1,10.3,8.5,8.3,6.5,6.3,6.3,4.2,4.2,4.0,3.9,1.5
Mike Conley,87.7,9.9,8.2,6.8,6.6,6.4,5.3,4.5,4.0,1.1,,
