Effective Field Goal Pct
2007-08 NBA .575 (10th)
2008-09 NBA .561 (10th)
2012-13 NBA .594 (3rd)
2013-14 NBA .584 (5th)
Career NBA .544 (36th)
Career .544 (37th)
