Player,Sim,1,2,3,4,5,6,7,8,9,10
Derrick Favors,,8.3,7.1,5.1,4.4,3.0,2.9,,,,
Gene Banks,90.4,7.9,6.2,5.6,4.3,3.6,3.5,,,,
Warren Davis,87.9,8.1,5.8,5.7,3.4,3.4,3.2,,,,
Trooper Washington,87.4,8.3,6.9,6.3,6.0,3.4,2.2,,,,
Bob Gross,87.4,7.4,7.1,4.4,3.8,3.1,2.9,1.7,0.2,,
Chandler Parsons,86.0,7.6,7.0,5.5,4.3,3.4,,,,,
Ed Davis,85.6,6.7,6.3,5.4,4.0,3.9,2.6,,,,
Gordon Hayward,84.8,8.9,8.7,5.4,4.9,3.6,1.2,,,,
Curtis Perry,83.8,7.6,6.0,5.3,4.8,2.8,1.7,1.3,0.2,,
M.L. Carr,83.0,7.9,5.9,5.2,4.5,4.5,2.8,1.1,0.8,0.4,0.4
Chris Mills,82.8,8.9,7.8,5.4,5.1,4.0,3.0,1.9,1.2,0.3,0.1
