Player,Sim,1,2,3,4,5,6,7,8,9
Nikola Pekovic,,6.7,5.9,4.5,1.2,0.6,-0.1,,,
Gheorghe Muresan,85.8,8.0,5.3,4.1,1.3,0.3,-0.1,,,
Don Otten,82.3,8.5,5.8,4.9,1.7,,,,,
Ralph Sampson,80.9,6.2,6.0,5.0,2.2,1.1,0.6,-0.2,-0.3,-0.6
Bob Rule,80.5,7.8,6.4,5.2,2.4,0.5,0.3,0.1,0.0,
Timofey Mozgov,77.9,5.7,4.5,3.7,1.1,0.7,0.6,,,
Nikola Vucevic,75.6,7.0,5.7,5.2,4.4,1.8,,,,
Bismack Biyombo,75.3,5.9,4.0,3.2,1.4,0.6,,,,
Bill McGill,74.4,7.1,4.6,3.1,2.2,-0.1,,,,
Gene Moore,73.7,6.8,5.7,5.0,4.5,1.9,0.8,0.0,,
Bob Houbregs,71.4,6.9,4.5,2.8,0.2,,,,,
