Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Stacey Augmon,,9.7,5.6,5.1,3.7,3.7,2.6,2.5,2.3,1.8,1.6,1.5,1.5,1.2,0.7,0.3
Drew Gooden,83.2,8.5,6.6,6.5,4.4,3.6,3.3,2.7,1.9,1.8,1.7,1.7,1.4,0.0,-0.1,
Cedric Ceballos,82.6,9.8,6.2,5.5,5.2,4.0,2.8,2.4,1.3,1.3,1.3,0.4,,,,
Don Kojis,82.1,8.3,5.0,4.8,3.7,3.3,3.2,2.2,1.9,1.5,0.7,0.7,0.5,,,
Rodney Rogers,82.0,7.4,5.4,4.7,3.9,3.3,3.1,2.9,2.3,2.3,2.0,1.2,0.3,,,
Matt Harpring,81.1,8.8,6.1,5.5,4.7,4.7,2.8,2.8,2.6,2.6,1.2,0.2,,,,
Joe Caldwell,79.9,7.9,6.7,4.4,3.7,3.7,3.3,2.5,2.3,2.0,1.1,0.3,,,,
Dennis Scott,79.8,8.8,5.0,4.6,3.8,2.8,2.6,2.4,1.5,1.2,0.7,,,,,
Chris Andersen,79.6,6.0,5.9,5.4,4.5,3.6,3.2,2.7,2.4,1.9,1.3,1.3,1.1,0.3,0.0,
Dave Gambee,77.9,7.0,5.3,5.0,4.6,3.3,2.7,2.2,1.9,1.6,1.4,0.0,,,,
Antoine Carr,77.9,5.5,5.4,4.3,4.0,3.8,3.5,3.3,2.4,2.2,2.1,2.1,1.5,1.2,0.7,0.0
