Weekly Awards
"Nov 15, 1992 Player of the Week"
"Dec 12, 1993 Player of the Week"
"Dec 4, 1994 Player of the Week"
"Mar 5, 1995 Player of the Week"
"Mar 3, 1996 Player of the Week"
"Dec 15, 1996 Player of the Week"
"Nov 16, 1997 Player of the Week"
"Mar 22, 1998 Player of the Week"
"Dec 5, 1999 Player of the Week"
"Feb 20, 2000 Player of the Week"
"Mar 12, 2000 Player of the Week"
"Apr 8, 2001 Player of the Week"
"Feb 3, 2002 Player of the Week"
"Feb 24, 2002 Player of the Week"
"Mar 10, 2002 Player of the Week"
"Mar 9, 2003 Player of the Week"
"Apr 6, 2003 Player of the Week"
"Dec 7, 2003 Player of the Week"
"Mar 21, 2004 Player of the Week"
"Dec 19, 2004 Player of the Week"
