Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1992-93,20,ORL,NBA,C,1,1,25:00,4,9,.444,0,0,,6,9,.667,3,7,0,0,0,0,3,14
1993-94,21,ORL,NBA,C,1,1,26:00,2,12,.167,0,0,,4,11,.364,4,10,0,1,4,1,2,8
1994-95,22,ORL,NBA,C,1,1,26:00,9,16,.563,0,1,.000,4,7,.571,4,7,1,3,2,2,2,22
1995-96,23,ORL,NBA,C,1,1,28:00,10,16,.625,0,0,,5,11,.455,3,10,1,1,2,1,3,25
1996-97,24,LAL,NBA,C,,,,,,,,,,,,,,,,,,,,
1997-98,25,LAL,NBA,C,1,1,18:00,5,10,.500,0,0,,2,4,.500,2,4,1,0,0,2,2,12
1999-00,27,LAL,NBA,C,1,1,25:00,11,20,.550,0,0,,0,2,.000,4,9,3,0,3,4,2,22
2000-01,28,LAL,NBA,C,,,,,,,,,,,,,,,,,,,,
2001-02,29,LAL,NBA,C,,,,,,,,,,,,,,,,,,,,
2002-03,30,LAL,NBA,C,1,0,26:00,8,14,.571,0,0,,3,5,.600,3,13,1,2,1,3,3,19
2003-04,31,LAL,NBA,C,1,0,24:00,12,19,.632,0,0,,0,1,.000,5,11,1,2,2,4,3,24
2004-05,32,MIA,NBA,C,1,1,25:00,6,11,.545,0,1,.000,0,3,.000,0,6,1,3,3,0,2,12
2005-06,33,MIA,NBA,C,1,1,22:34,7,9,.778,0,0,,3,5,.600,3,9,4,1,0,2,5,17
2006-07,34,MIA,NBA,C,1,1,17:15,5,13,.385,0,0,,0,0,,4,6,1,0,1,1,1,10
2008-09,36,PHO,NBA,C,1,0,10:56,8,9,.889,0,0,,1,4,.250,4,5,3,0,1,2,1,17
