Offensive Rebound Pct
1992-93 NBA 13.4 (7th)
1993-94 NBA 13.5 (8th)
1994-95 NBA 13.3 (8th)
2004-05 NBA 12.4 (10th)
Career NBA 11.7 (30th)
Career 11.7 (32nd)
