Total Rebound Pct
1992-93 NBA 20.6 (2nd)
1993-94 NBA 18.7 (6th)
1996-97 NBA 18.8 (7th)
1997-98 NBA 17.7 (10th)
1999-00 NBA 18.3 (8th)
2000-01 NBA 18.1 (6th)
2003-04 NBA 17.7 (8th)
2004-05 NBA 17.8 (10th)
Career NBA 17.8 (23rd)
Career 17.8 (26th)
