Points Per Game
1992-93 NBA 23.4 (8th)
1993-94 NBA 29.3 (2nd)
1994-95 NBA 29.3 (1st)
1995-96 NBA 26.6 (3rd)
1997-98 NBA 28.3 (2nd)
1998-99 NBA 26.3 (2nd)
1999-00 NBA 29.7 (1st)
2000-01 NBA 28.7 (3rd)
2001-02 NBA 27.2 (2nd)
2002-03 NBA 27.5 (4th)
Career NBA 23.7 (19th)
Career 23.7 (21st)
