2-Pt Field Goals
1992-93 NBA 733 (5th)
1993-94 NBA 953 (1st)
1994-95 NBA 930 (1st)
1995-96 NBA 591 (8th)
1997-98 NBA 670 (4th)
1998-99 NBA 510 (1st)
1999-00 NBA 956 (1st)
2000-01 NBA 813 (1st)
2001-02 NBA 712 (3rd)
2002-03 NBA 695 (5th)
2003-04 NBA 554 (7th)
2004-05 NBA 658 (5th)
Career NBA 11329 (5th)
Career 11329 (6th)
