Defensive Rebound Pct
1992-93 NBA 27.1 (5th)
1996-97 NBA 25.9 (7th)
1997-98 NBA 24.0 (9th)
1999-00 NBA 24.8 (9th)
2003-04 NBA 24.4 (10th)
Career NBA 23.6 (36th)
Career 23.6 (38th)
