Blocks Per Game
1992-93 NBA 3.5 (2nd)
1993-94 NBA 2.9 (6th)
1994-95 NBA 2.4 (6th)
1995-96 NBA 2.1 (9th)
1996-97 NBA 2.9 (3rd)
1997-98 NBA 2.4 (8th)
1999-00 NBA 3.0 (3rd)
2000-01 NBA 2.8 (4th)
2001-02 NBA 2.0 (10th)
2002-03 NBA 2.4 (6th)
2003-04 NBA 2.5 (8th)
2004-05 NBA 2.3 (6th)
Career NBA 2.3 (15th)
Career 2.3 (16th)
