Offensive Win Shares
1993-94 NBA 12.1 (2nd)
1994-95 NBA 9.6 (5th)
1998-99 NBA 7.2 (1st)
1999-00 NBA 11.7 (1st)
2000-01 NBA 11.1 (2nd)
2001-02 NBA 9.2 (6th)
2002-03 NBA 10.2 (4th)
Career NBA 115.4 (13th)
Career 115.4 (14th)
