Box Plus/Minus
1993-94 NBA 6.6 (4th)
1994-95 NBA 5.4 (8th)
1996-97 NBA 6.3 (8th)
1998-99 NBA 6.3 (3rd)
1999-00 NBA 9.7 (1st)
2000-01 NBA 7.3 (1st)
2001-02 NBA 7.0 (2nd)
2002-03 NBA 6.3 (7th)
2003-04 NBA 5.4 (7th)
2004-05 NBA 5.6 (7th)
Career NBA 5.0 (21st)
Career 5.0 (21st)
