MVP Award Shares
1992-93 NBA 0.031 (7)
1993-94 NBA 0.286 (4)
1994-95 NBA 0.576 (2)
1995-96 NBA 0.056 (9)
1996-97 NBA 0.006 (9)
1997-98 NBA 0.268 (4)
1998-99 NBA 0.075 (6)
1999-00 NBA 0.998 (1)
2000-01 NBA 0.466 (3)
2001-02 NBA 0.552 (3)
2002-03 NBA 0.106 (5)
2003-04 NBA 0.145 (6)
2004-05 NBA 0.813 (2)
2006-07 NBA 0.002 (12)
Career 4.380 (7)
