Awards
1992-93 Rookie of the Year
1992-93 Sporting News Rookie of the Year
2000 All-Star Game Most Valuable Player
2000 Finals Most Valuable Player
1999-00 Most Valuable Player
1999-00 Sporting News MVP
2001 Finals Most Valuable Player
2002 Finals Most Valuable Player
2004 All-Star Game Most Valuable Player
2004-05 Sporting News MVP
2009 All-Star Game Most Valuable Player
