Rebounds Per Game
1992-93 NBA 13.9 (2nd)
1993-94 NBA 13.2 (2nd)
1994-95 NBA 11.4 (3rd)
1998-99 NBA 10.7 (8th)
1999-00 NBA 13.6 (2nd)
2000-01 NBA 12.7 (3rd)
2004-05 NBA 10.4 (6th)
Career NBA 10.9 (27th)
Career 10.9 (36th)
