Field Goal Attempts
1993-94 NBA 1591 (3rd)
1994-95 NBA 1594 (1st)
1998-99 NBA 885 (5th)
1999-00 NBA 1665 (4th)
Career NBA 19457 (19th)
Career 19457 (24th)
