True Shooting Pct
1993-94 NBA .605 (5th)
1998-99 NBA .584 (9th)
2000-01 NBA .574 (9th)
2002-03 NBA .602 (2nd)
2008-09 NBA .623 (4th)
Career NBA .586 (35th)
Career .586 (36th)
