Offensive Box Plus/Minus
1993-94 NBA 5.4 (3rd)
1994-95 NBA 4.5 (8th)
1998-99 NBA 6.2 (2nd)
1999-00 NBA 6.2 (2nd)
2000-01 NBA 5.7 (5th)
2001-02 NBA 5.5 (2nd)
2002-03 NBA 5.5 (4th)
Career NBA 3.4 (36th)
Career 3.4 (35th)
