Free Throw Attempts
1992-93 NBA 721 (3rd)
1993-94 NBA 850 (2nd)
1994-95 NBA 854 (1st)
1997-98 NBA 681 (3rd)
1998-99 NBA 498 (1st)
1999-00 NBA 824 (1st)
2000-01 NBA 972 (1st)
2001-02 NBA 717 (1st)
2002-03 NBA 725 (4th)
2003-04 NBA 676 (1st)
2004-05 NBA 765 (3rd)
Career NBA 11252 (3rd)
Career 11252 (4th)
