Player,Sim,1,2,3,4,5,6,7
Alonzo Gee,,2.4,1.9,1.9,1.2,1.0,0.9,0.4
Ledell Eackles,91.3,2.4,2.1,2.0,1.2,1.0,1.0,1.0
Al Bianchi,86.9,2.4,1.9,1.8,1.5,0.8,0.8,-0.1
Randy Brown,84.5,2.4,1.9,1.8,1.6,1.5,0.4,0.3
Shaun Livingston,84.1,2.4,1.9,1.3,1.3,1.2,0.4,0.1
Jon Barry,83.6,2.4,2.4,2.1,1.8,1.1,0.9,-0.1
Anthony Bowie,80.1,2.9,2.5,2.0,1.6,1.3,0.7,0.5
Eddie House,79.5,1.9,1.8,1.6,0.9,0.7,0.7,0.4
Iman Shumpert,78.8,2.4,2.0,1.9,1.7,1.5,,
Mike Bratz,77.6,2.7,2.1,1.9,1.7,1.5,0.4,-0.1
John Crotty,76.9,2.4,2.1,1.3,1.0,0.8,0.3,-0.1
