Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Alonzo Gee,,2.4,1.9,1.9,1.2,1.0,0.9,0.4,,,,,
Ledell Eackles,91.3,2.4,2.1,2.0,1.2,1.0,1.0,1.0,,,,,
Mike Evans,83.9,2.9,1.9,1.6,1.1,1.1,0.9,0.1,-0.1,-0.2,,,
Mike Bratz,83.6,2.7,2.1,1.9,1.7,1.5,0.8,0.4,0.1,-0.1,,,
Si Green,83.2,2.6,2.6,1.6,1.0,0.8,0.8,0.4,0.1,,,,
Al Bianchi,81.6,2.4,1.9,1.8,1.5,0.8,0.8,0.2,-0.1,-0.4,-0.6,,
John Crotty,80.0,2.4,2.2,2.1,1.9,1.3,1.0,0.8,0.3,0.1,0.1,-0.1,
Elston Turner,79.4,2.3,2.1,1.4,1.3,1.2,0.3,0.1,-0.2,,,,
Iman Shumpert,78.8,2.4,2.0,1.9,1.7,1.5,,,,,,,
Dahntay Jones,78.5,2.0,2.0,1.8,1.2,0.9,0.7,0.6,0.6,0.4,0.1,0.0,-0.4
Em Bryant,78.1,2.1,2.0,1.9,1.7,1.1,0.5,0.1,-0.7,,,,
