Player,Sim,1,2,3,4,5,6,7,8,9
Kyle Singler,,4.4,2.3,2.0,1.1,,,,,
Harold Pressley,90.2,4.8,2.3,2.2,0.7,,,,,
Collis Jones,88.8,4.2,3.2,2.1,1.2,,,,,
Bostjan Nachbar,88.2,4.1,2.2,1.7,0.8,0.1,-0.1,,,
Tony Jaros,86.4,4.4,2.2,1.3,0.6,,,,,
Carl Herrera,85.5,4.6,2.1,2.0,0.5,0.1,0.1,-0.2,-0.3,
Bob Doll,84.2,4.0,2.8,1.8,1.6,,,,,
Frank Card,84.2,4.2,2.6,2.4,1.9,0.1,,,,
Brian Cook,83.3,4.5,2.0,1.8,1.1,0.6,0.4,0.0,-0.1,-0.2
Anthony Bonner,83.1,4.1,2.4,1.8,1.6,0.7,0.0,,,
Greg Kelser,81.7,3.9,2.5,1.4,0.8,0.1,0.0,,,
