Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Career,,,NBA,,386,10794,.434,11.8,.674,.354,.165,.052,.103,.326,.476,.582,.358,.371,.356,.347,.459,.020,45,.938,.723,.365,4,0
5 seasons,,PHO,NBA,,369,10711,.434,11.9,.671,.351,.165,.052,.104,.329,.476,.580,.361,.374,.356,.347,.460,.020,45,.938,.723,.365,4,0
1 season,,TOR,NBA,,17,83,.500,2.0,1.000,.773,.182,.045,.000,.000,.500,.647,.000,.000,,,.364,.000,0,,,,0,0
