Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
Career,,,NBA,,31,888,,,2%,79%,19%,-2.4,+1.6,6,12,9,16,6,7,2,97,15,2,12
3 seasons,,TOR,NBA,,31,888,,,2%,79%,19%,-2.4,+1.6,6,12,9,16,6,7,2,97,15,2,12
