Player,Sim,1,2,3,4,5,6,7,8
Andre Drummond,,9.9,7.7,7.4,4.5,,,,
Jonas Valanciunas,86.4,8.2,6.9,6.7,3.9,,,,
Jeff Ruland,80.6,10.1,9.3,7.8,3.5,3.3,0.3,0.0,0.0
Ed Sadowski,78.2,11.8,10.7,9.3,4.3,,,,
Steve Stipanovich,76.8,9.0,6.9,5.9,5.0,3.6,,,
George Ratkovicz,74.3,9.3,6.0,5.4,5.2,2.8,-0.1,,
Mike Lewis,73.9,7.9,7.5,4.0,3.8,1.1,0.0,,
Stan Miasek,69.1,10.3,5.8,5.5,4.1,3.5,2.1,,
Bob Rule,68.6,7.8,6.4,5.2,2.4,0.5,0.3,0.1,0.0
Don Otten,67.4,8.5,5.8,4.9,1.7,,,,
Nikola Vucevic,66.5,7.0,5.7,5.2,4.4,1.8,,,
