Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Anthony Carter,,3.8,1.8,1.7,1.4,0.9,0.6,0.5,0.2,0.2,0.0,-0.1,-0.2,-0.3
Jerry Reynolds,84.0,3.7,1.6,1.3,1.3,1.0,0.9,0.6,0.0,,,,,
Gary Neal,78.5,3.5,2.5,1.9,1.4,1.0,0.6,,,,,,,
Rick Adelman,77.6,3.4,2.2,1.6,1.3,0.7,0.7,0.1,,,,,,
Ron Lee,77.2,3.8,2.8,1.6,1.4,0.8,0.3,,,,,,,
Jordan Farmar,75.5,3.9,2.8,1.9,1.8,0.9,0.8,0.7,0.6,0.4,,,,
Al Ferrari,74.6,3.3,1.9,1.4,1.4,0.9,0.0,,,,,,,
Alec Burks,74.0,3.2,1.7,1.5,1.5,1.0,,,,,,,,
Wes Matthews,74.0,3.0,2.6,1.6,1.3,0.8,0.7,0.6,0.4,0.1,,,,
Ronald Murray,73.6,3.1,1.8,1.7,1.3,0.7,0.4,-0.3,-0.3,,,,,
John Barnhill,73.5,4.6,2.5,1.7,1.1,1.0,1.0,0.7,0.4,0.3,-0.4,,,
