Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2006-07,23,MIN,NBA,PG,82,1879,.434,13.2,.732,.288,.130,.090,.224,.268,.458,.573,.411,.403,.361,.368,.259,.013,8,.868,.259,.396,3,0
2007-08,24,MIN,NBA,PG,39,1259,.429,15.6,.680,.184,.128,.123,.245,.320,.436,.553,.424,.316,.416,.412,.219,.013,5,.738,.128,.474,3,0
2008-09,25,MIN,NBA,SG,70,2494,.407,14.0,.686,.276,.123,.078,.208,.314,.428,.491,.364,.377,.402,.360,.233,.016,15,.766,.185,.404,2,0
2009-10,26,WAS,NBA,PG,70,1667,.414,17.2,.706,.107,.118,.092,.389,.294,.442,.636,.260,.439,.444,.346,.166,.002,1,.587,.143,.385,4,0
2010-11,27,LAC,NBA,SG,63,1551,.388,18.3,.591,.128,.104,.041,.318,.409,.430,.618,.327,.318,.402,.327,.363,.009,5,.789,.166,.333,4,0
2011-12,28,LAC,NBA,SG,65,1682,.398,18.2,.489,.138,.107,.048,.196,.511,.410,.596,.319,.387,.333,.386,.543,.011,7,.874,.240,.342,0,0
2012-13,29,UTA,NBA,SG,82,2249,.397,19.7,.412,.103,.073,.047,.188,.588,.378,.539,.241,.229,.381,.410,.591,.007,4,.916,.189,.427,2,0
2013-14,30,DEN,NBA,SG,81,2485,.413,18.8,.431,.145,.094,.040,.152,.569,.456,.606,.341,.286,.429,.380,.267,.005,4,.757,.171,.447,4,0
2014-15,31,DEN,NBA,SG,50,1087,.368,20.5,.346,.100,.087,.020,.139,.654,.388,.625,.286,.375,.286,.357,.259,.002,1,.819,.198,.404,3,0
2015-16,32,TOT,NBA,SG,81,1642,.351,17.3,.481,.195,.079,.029,.178,.519,.405,.553,.289,.286,.314,.300,.255,.002,1,.693,.264,.303,2,0
2015-16,32,DEN,NBA,SG,54,1070,.351,17.2,.492,.198,.087,.027,.180,.508,.409,.530,.276,.222,.367,.296,.254,.003,1,.640,.213,.333,2,0
2015-16,32,OKC,NBA,SG,27,572,.349,17.5,.456,.188,.060,.034,.174,.544,.397,.607,.333,.400,.192,.309,.259,.000,0,.800,.370,.267,0,0
2016-17,33,BRK,NBA,SG,36,661,.359,19.2,.370,.158,.109,.022,.082,.630,.397,.483,.400,.250,.267,.336,.185,.005,1,.718,.190,.364,4,0
