Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,23,BOS,NBA,C,63,2,720,3.9,8.8,.446,0.0,0.1,.000,3.9,8.7,.451,5.3,7.2,.736,4.8,5.9,10.7,0.5,0.7,1.1,2.3,5.2,13.2
2007-08,24,BOS,NBA,C,56,5,809,6.9,12.0,.572,0.0,0.0,.000,6.9,11.9,.575,6.1,8.6,.710,4.2,5.9,10.1,0.7,0.7,0.7,1.9,5.7,19.8
2008-09,25,BOS,NBA,PF,70,7,1227,5.2,9.9,.524,0.0,0.0,,5.2,9.9,.524,5.4,7.8,.689,4.3,5.9,10.1,1.3,0.7,1.1,2.2,5.6,15.8
2009-10,26,CLE,NBA,SF,20,2,236,3.2,7.5,.429,0.0,0.0,,3.2,7.5,.429,5.6,9.6,.587,2.9,6.4,9.3,0.0,0.9,0.3,1.7,5.5,12.1
2010-11,27,TOT,NBA,C-PF,30,3,328,6.5,13.1,.496,0.0,0.2,.000,6.5,12.8,.504,4.4,7.9,.556,2.6,4.3,6.9,0.8,1.1,0.4,1.3,4.8,17.3
2010-11,27,CLE,NBA,PF,14,3,187,5.6,11.4,.492,0.0,0.0,,5.6,11.4,.492,2.3,5.0,.462,3.1,4.2,7.3,0.4,1.3,0.6,1.0,3.9,13.5
2010-11,27,MEM,NBA,C,16,0,141,7.7,15.3,.500,0.0,0.5,.000,7.7,14.8,.517,7.1,11.7,.609,2.0,4.3,6.4,1.3,0.8,0.3,1.8,6.1,22.5
