Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Trevor Ariza,,8.0,6.6,6.1,5.4,3.4,3.4,3.2,3.1,2.2,2.1,1.8,0.9,,,
Anderson Varejao,90.4,8.1,8.0,6.6,5.4,3.3,3.0,2.4,2.3,2.2,2.1,1.9,1.0,,,
Ed Pinckney,89.6,7.5,6.2,6.1,4.7,4.0,3.7,2.9,2.7,2.3,1.6,0.7,0.3,,,
Drew Gooden,89.5,8.5,6.6,6.5,4.4,3.6,3.3,2.7,1.9,1.8,1.7,1.7,1.4,0.0,-0.1,
Bo Outlaw,88.3,7.9,7.6,6.8,6.1,4.4,3.6,3.5,2.5,2.3,2.3,1.8,1.2,0.7,0.2,0.0
Jeff Foster,88.2,8.3,6.5,5.7,5.4,4.5,4.2,4.2,3.0,2.7,1.6,0.6,0.4,0.4,,
Thurl Bailey,87.9,6.8,6.5,5.4,4.6,4.0,3.7,3.6,3.1,2.6,2.6,1.2,0.9,,,
Marvin Williams,87.2,7.8,6.1,5.7,5.7,4.9,4.3,4.0,2.9,2.8,2.3,2.3,,,,
Kenyon Martin,86.0,7.1,6.7,5.3,5.0,4.9,4.0,3.8,3.3,2.7,2.1,1.2,1.2,0.9,0.2,0.0
Junior Bridgeman,85.8,6.7,6.1,5.5,5.1,4.8,4.0,3.6,3.1,2.6,2.1,0.8,0.6,,,
Orlando Woolridge,85.8,9.0,6.8,5.6,5.3,4.8,4.4,3.9,3.6,3.3,2.3,1.8,1.5,0.8,,
