Steals Per Game
2008-09 NBA 1.7 (9th)
2009-10 NBA 1.8 (6th)
2010-11 NBA 1.6 (9th)
2014-15 NBA 1.9 (7th)
2015-16 NBA 2.0 (6th)
2016-17 NBA 1.9 (4th)
Career NBA 1.5 (75th)
Career 1.5 (78th)
