Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Luol Deng,,11.3,9.9,6.5,6.4,6.3,5.9,5.8,5.4,4.5,4.4,3.0,3.0
Tom Chambers,94.0,11.2,9.2,7.4,6.4,6.1,5.9,5.4,4.8,4.5,4.4,4.3,3.3
Charles Oakley,92.5,10.5,8.9,7.3,6.7,6.2,6.0,5.7,5.7,5.6,4.5,3.5,3.3
Andrei Kirilenko,90.3,11.6,9.2,7.9,7.3,7.1,6.0,6.0,5.5,4.6,4.5,4.4,1.3
Shane Battier,86.9,9.1,9.0,8.2,7.8,6.2,5.9,5.2,5.1,4.8,4.4,4.3,3.3
Hot Rod Williams,86.9,9.2,8.7,7.7,7.5,7.4,5.7,5.3,5.3,4.5,3.7,2.8,2.4
Christian Laettner,86.3,11.6,7.5,6.6,6.2,6.2,5.1,5.0,4.3,4.1,2.6,2.3,0.7
Maurice Lucas,85.8,8.7,7.4,7.1,6.4,6.2,5.8,5.5,4.7,4.0,3.5,2.5,2.4
Richard Jefferson,84.8,11.7,11.0,9.9,7.6,6.6,6.0,5.9,4.7,3.4,3.1,2.4,1.0
Carlos Boozer,84.7,10.2,9.9,9.9,9.4,7.6,5.9,5.8,5.7,4.1,3.5,3.4,2.6
Michael Cage,84.3,8.1,7.6,7.2,6.8,6.7,6.7,6.2,5.8,4.9,4.3,3.2,1.7
