Player,Sim,1,2,3,4,5,6,7,8,9,10
Jeremy Lin,,5.4,4.4,3.5,2.7,2.7,0.5,,,,
Frank Selvy,91.0,5.5,4.1,3.6,2.4,2.3,0.6,0.0,-0.6,,
Jodie Meeks,89.8,5.1,4.5,4.1,3.1,3.0,0.9,0.1,,,
O.J. Mayo,85.7,5.6,4.2,3.5,3.4,2.8,2.4,0.1,-0.1,,
Vincent Askew,85.6,6.0,4.6,4.3,2.9,2.7,1.5,0.2,0.2,-0.2,
Jerry Sichting,84.5,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3,0.2,0.2
George Senesky,84.2,6.2,4.4,3.6,2.6,2.3,2.0,0.5,0.3,,
Tyreke Evans,83.6,5.4,4.6,4.4,3.1,2.7,1.6,1.4,,,
John Roche,83.4,4.8,4.2,4.1,2.5,2.3,0.8,0.6,0.5,,
Jrue Holiday,83.2,5.7,4.2,3.4,3.4,3.3,1.5,1.2,,,
Chico Vaughn,82.9,4.9,3.4,3.4,2.3,2.3,0.8,0.4,0.4,,
