3-Pt Field Goals
2002-03 NBA 155 (8th)
2003-04 NBA 240 (1st)
2004-05 NBA 174 (10th)
2007-08 NBA 231 (2nd)
Career NBA 1760 (14th)
Career 1760 (14th)
