Free Throw Pct
1999-00 NBA .882 (6th)
2001-02 NBA .876 (9th)
2003-04 NBA .927 (1st)
2004-05 NBA .920 (3rd)
2005-06 NBA .915 (2nd)
2007-08 NBA .929 (1st)
Career NBA .895 (5th)
Career .895 (4th)
